DateTime,Value
2021-06-26 16:49:07.195451,33
2021-06-26 16:49:08.336110,34
2021-06-26 16:49:09.477853,35
2021-06-26 16:49:10.617376,36
2021-06-26 16:49:11.758753,37
2021-06-26 16:49:12.901125,38
2021-06-26 16:49:14.041481,39
2021-06-26 16:49:15.181833,40
2021-06-26 16:49:16.322061,41
2021-06-26 16:49:17.460760,42
2021-06-26 16:49:18.599318,43
2021-06-26 16:49:19.739793,44
2021-06-26 16:49:20.878862,45
2021-06-26 16:49:22.020392,46
2021-06-26 16:49:23.158611,47
2021-06-26 16:49:24.299807,48
2021-06-26 16:49:25.439441,49
2021-06-26 16:49:26.578254,50
2021-06-26 16:49:27.715825,51
2021-06-26 16:49:28.856667,52
2021-06-26 16:49:29.997507,53
2021-06-26 16:49:31.137409,54
2021-06-26 16:49:32.275945,55
2021-06-26 16:49:33.414939,56
2021-06-26 16:49:34.553617,57
2021-06-26 16:49:35.693567,58
2021-06-26 16:49:36.833678,59
2021-06-26 16:49:37.971276,60
2021-06-26 16:49:39.112896,61
2021-06-26 16:49:40.252201,62
2021-06-26 16:49:41.391090,63
2021-06-26 16:49:42.529207,64
2021-06-26 16:49:43.666889,65
2021-06-26 16:49:44.808140,66
2021-06-26 16:49:45.949466,67
2021-06-26 16:49:47.087141,68
2021-06-26 16:49:48.229006,69
2021-06-26 16:49:49.367793,70
2021-06-26 16:49:50.505423,71
2021-06-26 16:49:51.644119,72
2021-06-26 16:49:52.782439,73
2021-06-26 16:49:53.923265,74
2021-06-26 16:49:55.063728,75
2021-06-26 16:49:56.204741,76
2021-06-26 16:49:57.342960,77
2021-06-26 16:49:58.481690,78
2021-06-26 16:49:59.618843,79
2021-06-26 16:50:00.760596,80
2021-06-26 16:50:01.899854,81
2021-06-26 16:50:03.040285,82
2021-06-26 16:50:04.181063,83
2021-06-26 16:50:05.318982,84
2021-06-26 16:50:06.459384,85
2021-06-26 16:50:07.598163,86
2021-06-26 16:50:08.740487,87
2021-06-26 16:50:09.880944,88
2021-06-26 16:50:11.019532,89
2021-06-26 16:50:12.161190,90
2021-06-26 16:50:13.302608,91
